Overall Qual,Year Built,Exter Qual,Gr Liv Area,Kitchen Qual,Bsmt Qual,Neighborhood,SalePrice
6,1976,3,1479,3,3,Sawyer,130500
7,1996,3,2122,3,4,SawyerW,220000
5,1953,2,1057,3,3,NAmes,109000
5,2006,2,1444,2,4,Timber,174000
6,1900,2,1445,2,2,SawyerW,138500
6,1966,3,1888,3,3,NAmes,190000
6,2005,2,1072,2,4,Edwards,140000
5,1959,2,1188,2,3,NAmes,142000
5,1952,2,924,2,3,OldTown,112500
5,1969,2,2080,1,4,NAmes,135000
6,1971,2,987,2,3,BrDale,85400
7,2005,3,1208,3,4,CollgCr,183600
5,1880,3,2016,2,0,SawyerW,131000
8,1999,3,1607,3,4,Somerst,200000
7,2007,3,1361,3,4,CollgCr,193000
5,2004,2,1430,3,5,Mitchel,173500
5,1916,2,1344,2,3,OldTown,98000
5,1963,2,1121,2,3,Sawyer,139000
6,1977,2,1285,2,3,Sawyer,143500
7,2009,2,1547,3,4,Somerst,215200
5,1968,2,894,2,4,Sawyer,129000
8,2000,3,1659,4,4,StoneBr,278000
8,2005,3,2253,4,5,NridgHt,344133
6,1992,2,1187,2,4,Gilbert,185000
5,1955,2,1056,2,3,Gilbert,145000
6,1961,2,1453,2,3,NAmes,187500
5,1965,2,894,2,3,Sawyer,138500
5,1937,2,1938,3,3,Crawfor,198000
5,1895,2,1991,2,3,IDOTRR,119600
5,1949,2,924,2,3,NAmes,122900
8,1981,3,2524,3,4,NWAmes,278000
8,1929,2,1517,3,4,Crawfor,230000
8,1995,3,1494,4,4,Veenker,270000
6,1952,2,948,2,3,NAmes,125000
8,2007,3,1718,3,5,CollgCr,297000
6,1958,2,1142,2,4,NAmes,113500
5,1977,2,1475,2,3,MeadowV,127000
6,1977,2,1844,2,4,NWAmes,190000
7,1973,2,1242,2,3,NWAmes,175500
5,1994,2,990,2,4,CollgCr,146000
5,1965,3,1256,2,3,Edwards,147500
10,2006,4,2076,4,5,NridgHt,465000
5,1978,2,1110,3,4,Mitchel,165500
5,1954,2,1795,2,3,OldTown,131500
5,1965,2,1040,2,3,Sawyer,129500
8,1935,2,1873,2,3,Crawfor,257076
5,1941,2,1604,2,3,Edwards,117000
7,1931,2,1502,2,4,Crawfor,149000
5,1954,2,1063,2,3,NAmes,128000
7,2003,3,1626,3,4,NridgHt,155000
6,2000,3,1524,3,4,Somerst,166000
4,1928,2,1981,3,3,SWISU,135000
7,1978,2,2784,3,4,NWAmes,250000
4,1970,2,1092,2,3,MeadowV,76000
6,1951,2,1575,3,3,NAmes,155000
6,1969,2,1352,2,3,Sawyer,158000
7,2004,3,1200,3,4,Somerst,149500
5,1954,2,936,2,3,NAmes,121000
6,1953,2,1040,2,3,NAmes,136000
6,1996,2,1636,2,4,Gilbert,173000
8,1999,3,2270,3,4,NoRidge,290000
8,2007,3,2610,4,4,Somerst,303477
7,1977,3,1483,2,4,ClearCr,270000
5,1920,1,1740,4,3,OldTown,122250
5,1955,2,1382,3,3,NAmes,153000
5,2007,2,1120,2,4,Mitchel,147000
7,1930,2,1098,2,4,Crawfor,148500
7,2004,3,1708,3,4,Edwards,130000
9,2006,4,1802,4,5,NridgHt,372000
7,2005,3,1506,3,4,Blmngtn,213490
7,2009,3,1508,3,4,Edwards,308030
7,1996,3,2032,3,5,Mitchel,300000
6,1959,2,1194,2,3,NAmes,159500
7,2004,3,1709,3,4,Edwards,137500
7,2005,3,1616,3,4,Somerst,232000
6,1930,3,768,2,3,IDOTRR,93850
5,1924,2,872,1,3,Sawyer,105000
4,1927,2,520,1,3,BrkSide,68500
5,1960,2,2274,2,3,NAmes,154300
5,1925,3,1601,2,3,IDOTRR,129850
5,1910,2,1232,2,3,OldTown,114000
9,2008,4,2234,4,5,StoneBr,501837
5,1915,2,1416,2,3,OldTown,153900
4,1971,2,864,2,3,NAmes,130000
6,1997,2,1189,2,5,Mitchel,160500
9,2006,4,1666,3,5,NridgHt,310090
7,2003,3,1200,3,4,SawyerW,184900
5,1956,2,928,2,4,NAmes,132000
5,1969,2,1336,2,4,NWAmes,163000
7,2004,3,1200,3,4,Somerst,155000
6,1969,2,1427,2,3,NWAmes,183000
7,1996,3,1992,3,4,CollgCr,211000
7,1994,3,1540,3,4,SawyerW,184000
5,1979,2,1535,2,0,SawyerW,118858
5,1964,2,1152,2,3,NAmes,180500
8,2006,3,1151,3,4,Somerst,166000
6,1960,2,1138,2,3,Sawyer,148000
5,1956,2,1074,3,3,NAmes,124000
9,2005,4,1561,4,5,NridgHt,277500
8,1995,3,2726,3,4,NoRidge,350000
9,2004,4,1884,4,5,StoneBr,387000
4,1920,2,605,2,3,Edwards,86000
8,1976,4,1671,4,4,Veenker,290000
3,1900,2,797,2,2,IDOTRR,44000
6,2001,2,1961,3,5,Mitchel,215000
5,1972,2,1193,2,4,NWAmes,146500
7,2000,3,1382,3,4,Somerst,165000
6,1916,2,2526,3,3,OldTown,136000
6,1957,2,1390,4,4,NAmes,252000
7,2003,3,1626,3,4,NridgHt,175500
5,1939,2,1558,2,3,OldTown,150000
5,1960,2,1422,2,3,NAmes,139900
5,1930,2,1573,2,3,BrkSide,162900
6,1962,2,1116,2,3,NAmes,160000
2,1947,2,660,1,0,Sawyer,63900
6,1978,2,1707,2,3,NWAmes,184000
5,1959,2,1466,1,3,Edwards,149900
9,2000,3,1638,4,4,Somerst,300000
5,1960,2,1721,2,3,ClearCr,145000
6,1997,2,1764,3,4,CollgCr,231500
5,1940,2,996,2,3,Edwards,108000
5,1956,2,1202,2,3,NAmes,120000
5,1961,2,988,2,3,Sawyer,128500
5,1927,2,1028,2,3,OldTown,115000
5,1947,2,1284,2,3,OldTown,110000
9,1977,3,2944,3,4,Veenker,150000
8,2004,3,1414,3,5,Gilbert,178000
7,1932,2,1609,3,3,Crawfor,199500
6,1997,2,1525,2,3,Gilbert,183500
5,1967,1,1656,2,4,IDOTRR,126000
7,1977,2,1055,2,4,NPkVill,148500
5,1939,2,1352,3,3,OldTown,149000
6,1977,2,1456,2,4,NPkVill,137900
8,1993,3,1719,3,4,Veenker,324000
5,1925,2,864,2,3,Edwards,98000
6,1973,2,987,2,3,BrDale,103400
5,1875,2,1020,2,3,Sawyer,94000
8,2006,3,1554,3,4,NridgHt,209500
10,2006,4,3390,4,5,StoneBr,545224
6,1912,3,1560,3,3,OldTown,159900
4,1951,2,864,2,3,Gilbert,141000
6,2000,2,1889,2,4,Gilbert,215000
5,1962,2,1040,2,3,Sawyer,127000
5,1954,2,1172,2,3,Edwards,128000
8,2010,3,1418,3,5,Somerst,267916
6,1931,2,1367,2,3,BrkSide,127500
7,2003,3,1922,3,0,Edwards,198500
6,1981,2,1422,3,4,NWAmes,175500
7,2000,3,1842,3,4,CollgCr,217500
4,1915,2,1962,2,3,OldTown,149500
5,1966,3,1120,2,3,NAmes,148800
9,2005,3,2868,4,5,StoneBr,556581
6,1957,2,1478,2,3,NAmes,156500
7,1995,3,1995,3,4,CollgCr,237000
5,1958,2,912,2,3,NAmes,120000
6,2005,2,1326,3,4,Gilbert,203000
8,1987,2,1204,2,4,StoneBr,130000
6,1964,2,1611,2,3,NAmes,167900
4,1970,2,960,2,3,BrkSide,129000
5,1957,2,1236,3,3,NAmes,134450
5,1918,2,1416,3,3,Sawyer,112000
7,1988,3,1873,3,4,SawyerW,207000
5,1922,2,2128,2,3,OldTown,62500
7,2003,3,1626,3,4,NridgHt,154000
5,1957,2,816,2,3,NAmes,129900
5,1976,2,1112,2,4,MeadowV,85000
7,1926,2,1111,2,3,OldTown,116900
6,1978,2,1441,2,3,NPkVill,148500
4,1941,2,924,1,4,Edwards,80000
5,1984,2,1126,2,4,Sawyer,152000
5,1954,2,992,2,2,Edwards,155891
6,1920,2,1376,3,3,BrkSide,165000
7,2009,3,1218,3,4,Somerst,204500
5,1942,2,1644,3,3,NAmes,146500
7,1978,2,1601,2,4,NWAmes,157000
7,1890,2,2495,2,3,OldTown,184000
6,2002,3,1509,3,4,Gilbert,183200
5,1962,2,1092,2,3,Sawyer,139000
7,1993,3,2418,3,4,NoRidge,341000
6,1971,2,987,2,3,BrDale,96000
4,2003,2,1121,2,4,Edwards,140000
6,1957,2,1236,2,3,OldTown,149700
5,1975,2,1074,2,4,NWAmes,153500
1,1952,1,733,1,0,IDOTRR,13100
7,2003,3,1768,3,4,CollgCr,224900
7,2005,3,1266,3,4,Somerst,176000
8,1992,3,2872,3,4,NoRidge,285000
8,2007,3,1464,3,4,Somerst,282922
7,1966,2,2157,3,3,NAmes,226000
8,2006,4,2576,4,5,StoneBr,361919
9,2005,3,2798,4,5,StoneBr,457347
8,1976,3,1743,3,4,ClearCr,279000
6,1977,2,1567,3,3,Mitchel,196000
7,1976,2,1370,2,4,NWAmes,152000
5,1969,2,2634,2,3,NAmes,200000
8,2005,3,1590,4,5,CollgCr,294900
7,2008,3,1450,3,4,SawyerW,224243
6,1915,2,1338,2,2,Edwards,92000
7,2007,3,1456,3,4,Gilbert,179540
10,2003,4,2392,4,5,NridgHt,386250
4,1970,2,992,2,4,MeadowV,106500
10,2008,4,2007,4,5,Somerst,310000
7,1998,3,2385,3,4,NoRidge,252000
7,1941,2,1646,2,3,Crawfor,164000
7,2007,3,1456,3,4,Gilbert,177594
5,1936,2,1040,2,3,BrkSide,123900
6,1918,2,2624,2,4,Crawfor,239000
5,1965,2,1264,2,3,Mitchel,169000
7,2003,3,1557,3,4,Blmngtn,234000
6,1977,2,1287,2,4,Mitchel,173000
6,1970,2,1004,2,3,NAmes,149000
7,2007,3,1162,3,4,SawyerW,170000
7,2008,3,1436,3,5,Somerst,225000
5,1963,2,960,3,3,Sawyer,144900
5,1968,2,1196,2,4,Edwards,144000
8,2004,3,1269,3,4,Blmngtn,192000
5,1952,3,1031,3,3,NAmes,145500
4,1900,2,720,1,2,OldTown,86900
6,1953,2,1505,2,3,NAmes,149500
5,1938,2,954,1,2,Crawfor,119750
6,2005,2,1500,3,4,CollgCr,173900
5,1961,2,1050,2,3,NAmes,136500
8,1994,3,2687,3,4,StoneBr,270000
6,1960,2,1252,2,4,ClearCr,235000
7,1999,2,1430,2,4,Gilbert,156000
5,2003,2,1114,3,4,SawyerW,153000
6,1999,2,1224,2,5,Mitchel,165000
9,2005,3,2504,4,4,StoneBr,325000
5,1941,2,1355,2,3,Crawfor,140000
6,1963,2,2294,2,3,IDOTRR,202500
9,2008,4,1702,4,5,NridgHt,367294
6,1988,3,1509,3,4,Timber,175000
7,1915,2,1717,3,3,Crawfor,140000
7,1985,2,1240,3,4,Timber,174000
7,2005,3,1166,3,4,Gilbert,190000
5,1910,3,1464,2,3,OldTown,129000
6,1959,2,1652,3,3,NAmes,200000
6,1968,2,2142,3,4,NAmes,193500
6,1964,2,1092,2,4,NAmes,145000
7,1929,3,1671,2,3,Crawfor,218000
5,1952,2,1488,2,0,Edwards,135000
5,1952,2,1624,2,3,NAmes,146500
6,2005,3,1362,3,4,NridgHt,194700
7,2007,3,1218,3,4,Somerst,230348
6,1923,2,1068,2,2,OldTown,109500
6,1979,2,1625,1,4,Mitchel,242500
7,1987,3,1767,3,4,StoneBr,239000
6,1954,2,1050,3,3,NAmes,156000
4,1957,2,907,2,3,NAmes,109008
2,1939,2,845,2,0,IDOTRR,68104
8,1995,3,2501,3,4,NoRidge,290000
5,1966,2,1209,2,4,NAmes,159000
4,1937,2,906,2,3,BrkSide,87000
8,2001,3,1601,3,4,CollgCr,272000
7,2005,3,1336,3,4,CollgCr,198000
4,1940,2,1656,2,3,OldTown,119164
5,1954,2,1124,2,0,Edwards,93000
7,2000,3,1892,2,4,Gilbert,226750
3,1900,2,1699,2,2,OldTown,95000
6,1948,2,1416,2,3,BrkSide,139900
3,1940,2,1306,1,3,BrkSide,76500
4,1940,3,672,2,3,OldTown,86900
5,1968,2,1160,3,3,Mitchel,152500
4,1953,2,930,2,4,Edwards,99000
4,1940,1,708,1,3,BrkSide,82500
6,1992,3,1575,3,4,SawyerW,179200
5,1966,2,1059,2,3,Sawyer,142500
4,1964,2,1005,2,3,Sawyer,115400
7,2001,3,1929,3,4,Somerst,226000
7,2005,3,1200,3,4,Somerst,144152
8,2003,3,2690,3,5,NridgHt,370000
5,1984,2,833,3,4,Mitchel,149900
6,2006,3,1456,2,4,Gilbert,172785
5,1950,2,864,3,3,NAmes,129000
6,1979,2,1586,2,4,NWAmes,181000
5,1956,2,1370,2,3,NAmes,148000
6,2002,2,914,3,4,Edwards,117250
7,2005,3,1555,3,4,Blmngtn,192500
6,1980,2,1556,2,4,Blueste,151000
5,1972,2,882,2,3,CollgCr,112500
5,1920,2,1167,2,3,BrkSide,144000
9,2007,4,1800,4,5,NridgHt,370967
6,1975,2,1456,3,3,NPkVill,149900
7,2002,3,1660,3,4,CollgCr,195000
7,1992,2,1482,3,4,Gilbert,163900
6,1984,2,1522,2,4,ClearCr,182000
9,2008,4,2036,4,5,Timber,410000
5,1991,2,1595,2,4,Mitchel,152000
7,2005,3,1686,3,4,SawyerW,184000
7,1997,2,1344,2,4,Mitchel,206300
5,1970,2,1652,2,3,Mitchel,146500
4,1956,2,1337,2,3,NAmes,108000
7,1968,2,1920,3,3,NWAmes,170000
6,2004,3,848,3,4,CollgCr,145000
7,1975,2,1055,2,4,NPkVill,123000
6,1996,2,1291,3,4,ClearCr,173000
6,1928,2,720,2,3,OldTown,105900
4,1973,2,988,2,4,MeadowV,91000
5,1949,2,1523,1,3,Crawfor,158000
7,2004,3,1728,3,4,CollgCr,190000
8,1995,3,1239,3,4,Veenker,217500
5,1958,2,1955,2,3,IDOTRR,165500
7,1941,2,1564,1,3,Crawfor,174500
4,1954,2,1204,2,5,Edwards,100000
6,1958,2,1329,3,3,NAmes,172000
5,1975,2,879,2,3,CollgCr,120000
4,1950,1,841,2,3,SawyerW,82000
6,1947,2,1312,2,3,NAmes,127000
6,1917,2,2058,2,4,OldTown,129500
8,1984,3,1360,3,4,StoneBr,187500
8,2002,3,1786,3,5,CollgCr,300000
6,1971,2,1993,2,3,NWAmes,190000
4,1920,1,1362,2,3,Edwards,96000
7,2006,3,1550,3,4,Somerst,241000
5,1962,2,1696,2,3,Sawyer,143900
4,1970,2,1092,2,3,MeadowV,87550
9,2005,4,1752,4,5,NridgHt,319900
9,2006,3,2473,3,5,StoneBr,356383
9,2007,3,1800,4,5,CollgCr,239000
7,1993,3,2197,3,4,NoRidge,287500
5,1941,2,1382,2,3,OldTown,128500
7,2004,3,1733,3,4,Gilbert,185088
7,2008,3,1402,3,4,Somerst,229800
5,1984,2,887,2,3,Mitchel,124500
5,1968,2,1051,2,3,NAmes,142000
6,1920,2,1510,2,3,SWISU,149000
5,1973,2,1656,2,3,NWAmes,135000
6,1976,2,958,2,4,NPkVill,128000
8,1992,3,3228,3,4,NoRidge,430000
5,1968,2,1040,2,3,Sawyer,145000
5,1910,2,1250,2,3,Crawfor,139000
6,1984,2,1868,2,4,NWAmes,178000
10,2005,4,2790,4,5,NridgHt,460000
6,1916,2,2134,3,3,BrkSide,214500
5,1916,2,1928,2,3,SWISU,160000
7,1999,3,2060,3,4,Gilbert,214000
6,1935,2,1378,3,3,OldTown,128900
4,1961,2,1622,2,3,Mitchel,168000
8,2007,3,1880,4,5,Somerst,310013
8,1986,3,1088,3,4,StoneBr,170000
5,1959,2,1040,2,3,NAmes,133700
6,1923,2,1502,3,3,Crawfor,165000
6,1971,2,987,2,3,BrDale,89500
6,1958,2,1095,2,3,NAmes,140000
7,2004,3,1709,3,4,Edwards,134000
6,1992,3,1731,3,4,SawyerW,248500
4,1965,2,960,2,3,Sawyer,145000
6,1975,2,1552,2,4,NWAmes,179900
8,2006,3,1795,3,5,Somerst,147000
5,1991,2,1274,2,4,Mitchel,136000
6,1940,2,1196,2,3,BrkSide,128000
4,1946,2,704,1,2,Sawyer,88750
5,1955,2,972,2,3,NAmes,122500
6,1948,2,1458,2,3,NAmes,97500
6,1963,2,1008,2,3,NAmes,135000
9,2007,4,1828,3,5,NridgHt,314813
3,1915,1,1526,1,3,IDOTRR,85000
6,1937,3,1176,2,3,BrkSide,134900
5,1955,2,1057,3,3,Edwards,137000
8,1995,3,2113,3,4,NoRidge,350000
5,1967,2,1387,2,3,NAmes,145000
9,2005,3,2758,4,5,NridgHt,418000
3,1920,2,840,1,3,OldTown,64000
5,1932,2,1520,2,3,SWISU,159434
8,2007,3,1542,3,4,Somerst,260261
5,1952,2,1385,2,3,NAmes,166000
5,1962,2,936,2,3,NAmes,130000
5,1941,2,1288,2,2,SWISU,112000
5,1963,2,1128,2,3,NAmes,155000
8,2009,3,1968,4,5,Timber,269500
6,1964,2,1246,2,3,NAmes,172000
7,1940,2,1740,2,3,Crawfor,219500
5,1963,2,925,2,3,Sawyer,133500
7,2000,2,1430,2,4,Gilbert,170000
8,1900,3,1566,3,3,OldTown,150000
5,1953,2,950,2,3,NAmes,130000
5,1959,2,1144,2,3,NAmes,143000
5,1961,2,1114,2,3,NAmes,140000
7,1973,2,2223,2,4,NAmes,244000
5,1920,2,1111,1,3,IDOTRR,101000
5,1958,2,960,2,3,OldTown,125000
6,1998,2,1633,2,4,Gilbert,183000
6,1912,2,2229,2,3,OldTown,104000
6,1954,2,984,2,3,NAmes,112500
6,1980,2,1686,2,4,NWAmes,207500
7,2005,3,1614,3,4,CollgCr,225000
5,1972,2,864,2,3,CollgCr,119900
7,2006,3,1740,3,5,NridgHt,293000
5,1968,2,1721,2,3,Sawyer,180000
6,1976,2,1034,2,3,Mitchel,169900
6,1978,2,1902,2,0,Sawyer,112000
6,1984,2,1097,2,4,SawyerW,152000
9,2005,3,2206,4,4,NridgHt,300000
6,1976,2,1117,2,3,Edwards,107000
4,1885,2,2290,2,3,OldTown,122500
6,1972,2,948,2,3,BrDale,89000
6,1940,2,919,2,2,SWISU,95000
6,1968,2,1152,2,3,NWAmes,143450
9,2009,4,2334,4,5,NridgHt,376162
5,1960,2,1264,2,3,NAmes,167500
5,1979,2,1224,2,4,SawyerW,153337
6,1925,2,1369,2,3,Edwards,103600
5,1976,2,894,2,3,CollgCr,128200
6,2000,3,1573,3,4,Somerst,177500
8,2002,3,2250,3,4,NridgHt,320000
6,2000,2,1514,2,4,Gilbert,190000
6,1971,2,1218,2,3,BrDale,91500
5,1954,2,1387,3,3,OldTown,93000
4,1920,2,1317,2,3,IDOTRR,40000
6,1914,2,1355,3,3,IDOTRR,127000
4,1896,1,952,2,3,IDOTRR,50138
6,1976,2,1113,2,3,Edwards,148000
5,1940,2,778,2,3,IDOTRR,120500
6,1940,2,1489,2,3,SWISU,139500
9,2007,4,1698,4,5,Edwards,320000
7,1937,2,2267,2,3,Sawyer,219000
5,1983,2,902,2,4,Mitchel,131000
6,2006,3,1495,3,4,Gilbert,171925
5,1996,3,1384,3,4,Gilbert,177900
6,1921,2,1436,2,3,Crawfor,141500
6,1998,3,1636,2,4,Gilbert,191000
6,2004,2,1158,3,4,SawyerW,158000
8,2006,3,1646,3,4,Timber,248900
5,1937,2,1768,3,4,SWISU,175000
6,1965,2,1565,3,3,NAmes,185900
7,1914,2,1768,2,4,OldTown,163000
5,1951,1,1396,2,3,IDOTRR,115000
6,1978,2,1096,2,3,Sawyer,157500
7,1999,3,2312,3,4,Gilbert,245000
8,1993,3,1337,3,4,StoneBr,180000
7,2004,3,1102,3,4,Somerst,148800
8,2002,3,2031,3,4,CollgCr,237000
2,1920,2,438,1,3,SWISU,60000
5,1976,2,1033,2,4,Edwards,165000
7,2003,3,2327,3,4,CollgCr,240000
7,1992,2,1187,3,4,Gilbert,160000
6,1945,2,1340,2,3,SWISU,128000
4,1955,2,1152,1,0,Edwards,82000
6,1966,2,1567,3,3,NAmes,256000
7,1920,2,1482,2,3,OldTown,143000
7,2006,3,1689,3,4,Timber,231713
5,1969,2,1424,2,4,Gilbert,155000
5,1983,2,816,2,3,Mitchel,128500
7,1921,2,1424,2,3,SWISU,168000
7,1972,2,1479,3,3,NAmes,184000
5,1962,2,1025,2,3,NAmes,124000
6,1970,2,1442,2,3,NWAmes,185000
8,2000,3,1936,3,4,Gilbert,230500
7,1998,2,1939,3,4,CollgCr,227000
6,2005,3,1476,3,4,CollgCr,173500
5,1968,2,898,2,4,NAmes,140000
8,2006,3,1460,3,5,Somerst,247000
6,1978,2,1034,2,4,Sawyer,149900
5,1978,2,1174,2,4,CollgCr,158000
7,2003,3,1080,3,4,Somerst,147110
6,1937,2,1376,2,3,IDOTRR,119500
5,1940,2,1567,2,3,Crawfor,205000
5,1895,2,1534,3,4,OldTown,148000
8,1995,3,1616,3,4,StoneBr,236500
5,1938,2,1551,1,2,SWISU,137000
5,1955,2,960,2,3,NAmes,122000
7,2007,3,1302,3,4,Gilbert,176485
5,1925,2,816,2,3,BrkSide,109000
7,1998,3,1502,3,4,GrnHill,330000
6,2008,2,1133,2,3,OldTown,143000
9,1998,3,3078,3,5,NoRidge,410000
6,1994,3,1721,3,4,SawyerW,201000
4,1910,2,1760,2,2,OldTown,80000
6,1945,2,2320,3,3,Crawfor,259500
7,2003,3,2486,3,4,Timber,279900
5,1959,2,1246,3,3,NAmes,154000
6,1958,3,2144,3,4,ClearCr,277000
5,1942,2,1150,2,3,Edwards,128000
8,2007,3,1600,3,4,NridgHt,256300
4,1930,2,1755,3,3,Crawfor,188000
8,2002,3,1800,3,5,Timber,312500
7,2004,3,1200,3,4,Somerst,151000
5,1971,2,1365,2,3,BrDale,122500
6,2003,3,1696,3,4,SawyerW,188000
7,2005,3,1809,3,4,CollgCr,209700
8,2006,3,2234,3,5,StoneBr,441929
6,1993,3,1680,3,4,SawyerW,163000
6,1966,2,2087,3,3,ClearCr,187500
8,1999,3,1513,3,4,CollgCr,220000
5,1967,2,1107,3,3,NAmes,127000
